"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"EIF1AY",0.665828295384675,0.00036094239779723,0.577471389453634
"MRC1",1.22241302392763,0.000421623830054679,0.577471389453634
"CEBPE",-0.729740108905553,0.000451280396199041,0.577471389453634
"FADS2",-0.749253902485471,0.000564596916670742,0.577471389453634
"RSPH14",1.15905522228793,0.000665454487588098,0.577471389453634
"KRCC1",0.49885574459239,0.000673333009947601,0.577471389453634
"THBS1",0.482991826559925,0.000768963116190636,0.577471389453634
"ZNF208",0.909780913183684,0.000782643450887534,0.577471389453634
"BCAT1",0.776996945908901,0.000855356975381064,0.577471389453634
"NUAK1",-0.750208600204482,0.00106797978983985,0.577471389453634
"CXCL8",0.579855596916092,0.0011009392579218,0.577471389453634
"COL8A2",-0.606258243522396,0.0011724950817972,0.577471389453634
"SLC43A1",-0.522054703292754,0.00120427496596739,0.577471389453634
"FADS1",-0.530716972835823,0.00124367115197211,0.577471389453634
"P2RY2",-0.508674154135031,0.00141521831901859,0.577471389453634
"MAP3K7CL",0.43555751831822,0.0014672306103297,0.577471389453634
"B3GAT1",-0.626998693053196,0.00149246593034997,0.577471389453634
"MPP7",0.510418121270911,0.00163874716724151,0.577471389453634
"PDK4",1.09166927106007,0.00166951125314938,0.577471389453634
"TMEM198",-1.85813913201422,0.00189672352574936,0.577471389453634
"CNTNAP3",1.19141813769247,0.00208697919782536,0.577471389453634
"FOSB",-0.507226950640832,0.00231144132167071,0.577471389453634
"LUCAT1",0.717089790195462,0.0023423995064557,0.577471389453634
"TOMM40L",-0.43570505678169,0.00234964114977098,0.577471389453634
"DNAH7",1.64664667695274,0.00259791265956238,0.577471389453634
"CARD16",0.733859362823759,0.00266959483228814,0.577471389453634
"GRIN3A",0.78501685569528,0.00267108938670467,0.577471389453634
"REV3L",0.374217776252896,0.00269755026217274,0.577471389453634
"DUSP2",-0.75932352586571,0.00284320109997822,0.577471389453634
"SH3BGRL2",0.428493399336979,0.00284341760956773,0.577471389453634
"LNPEP",0.492932606780985,0.00288051842892294,0.577471389453634
"MFSD2A",-0.567959084581375,0.00289239914317784,0.577471389453634
"RGS18",0.709463577502913,0.00292323384876619,0.577471389453634
"PPL",0.881258516359414,0.00297601694048231,0.577471389453634
"NACAD",-1.53262923552952,0.00325503187617481,0.577471389453634
"HTR7P1",0.586275005101522,0.00326803989093423,0.577471389453634
"GNG10",0.754253305910074,0.00327161346280138,0.577471389453634
"ZNF267",0.556340528170058,0.00328451870878907,0.577471389453634
"CAMK1",-0.352787729596988,0.00338197764929293,0.577471389453634
"BAZ2B",0.739160232249153,0.00340879816618424,0.577471389453634
"F5",0.74138888846189,0.00346684773326274,0.577471389453634
"FLT3",0.699356931265873,0.00354009194574872,0.577471389453634
"KIF19",-0.924506421364259,0.00358328724318456,0.577471389453634
"KLHL28",0.394845101645872,0.00359101707091806,0.577471389453634
"CFAP45",0.721092236857577,0.00359147081872772,0.577471389453634
"DNAJC25-GNG10",0.743397993715066,0.00359726486240309,0.577471389453634
"ARG1",1.26184298017928,0.00361387202653043,0.577471389453634
"HMGB2",0.572617730452589,0.00366207773359406,0.577471389453634
"FAM20A",0.847508205491793,0.00367811280930113,0.577471389453634
"ANKRD61",-1.07372044714047,0.0037074825142883,0.577471389453634
"CERCAM",-0.652302327585007,0.00373106998466109,0.577471389453634
"PTPN14",-1.22526191430004,0.00390455150362817,0.577471389453634
"STK32C",-0.422476876483891,0.00391393706601155,0.577471389453634
"SPRED1",0.501847662250374,0.00398245340961137,0.577471389453634
"EVI2A",0.626413485382013,0.00402460488055213,0.577471389453634
"ABCA1",0.672964250727493,0.00404427307253292,0.577471389453634
